type,name,href,img
草部,肉苁蓉,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%82%89%E8%8B%81%E8%93%89,http://p.ayxbk.com/images/0/0d/Bk3hy.jpg
草部,列当,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%88%97%E5%BD%93,http://p.ayxbk.com/images/7/75/Bkc8x.jpg
草部,赤箭（天麻）,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%B5%A4%E7%AE%AD%EF%BC%88%E5%A4%A9%E9%BA%BB%EF%BC%89,
草部,术（白术）,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%9C%AF%EF%BC%88%E7%99%BD%E6%9C%AF%EF%BC%89,
草部,苍术,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8B%8D%E6%9C%AF,http://p.ayxbk.com/images/9/9a/Bk0l6.jpg
草部,狗脊,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%8B%97%E8%84%8A,http://p.ayxbk.com/images/thumb/f/fd/Bk1j2.jpg/220px-Bk1j2.jpg
草部,贯众,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%B4%AF%E4%BC%97,
草部,巴戟天,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%B7%B4%E6%88%9F%E5%A4%A9,http://p.ayxbk.com/images/thumb/d/d4/Bkci0.jpg/220px-Bkci0.jpg
草部,远志,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%BF%9C%E5%BF%97,http://p.ayxbk.com/images/thumb/6/6e/Bk4y5.jpg/220px-Bk4y5.jpg
草部,淫羊霍,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%B7%AB%E7%BE%8A%E9%9C%8D,
草部,仙茅,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E4%BB%99%E8%8C%85,http://p.ayxbk.com/images/d/d7/Bk4ch.jpg
草部,玄参,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%8E%84%E5%8F%82,http://p.ayxbk.com/images/1/1c/Bk4jr.jpg
草部,地榆,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%9C%B0%E6%A6%86,http://p.ayxbk.com/images/thumb/3/35/Bkmf3.jpg/220px-Bkmf3.jpg
