name,img,otherName,intro
白扁豆,http://p.ayxbk.com/images/1/17/Bk06y.jpg,（火镰扁豆、峨眉豆、扁豆子、茶豆、藊豆、白藊豆、南扁豆、沿篱豆、蛾眉豆、羊眼豆、凉衍豆、白藊豆子、膨皮豆、小刀豆、树豆、藤豆、眉豆）,健脾，化湿，消暑。主脾虚生湿，食少便溏，白带过多，暑湿吐泻，烦渴胸闷
白草莓,http://p.ayxbk.com/images/3/3d/Bkc07.jpg,（三匹风、野杨莓、草莓、白泡儿、白藨、白蒲草、只大萨曾、白地莓）,祛风，清热，解毒。治风热咳嗽，百日咳，口腔炎，痢疾，尿血，疮疖。
白侧耳,http://p.ayxbk.com/images/thumb/c/c3/Bkc09.jpg/220px-Bkc09.jpg,（白耳菜、叫天鸡、光板、金苦板、苍耳七、金钱灯塔草、金筶板、梅花草、黄草、小白花、山慈姑、马尿花、马蹄草、紫葳草、肺心草、白折耳、水折耳）,镇咳，止血，利湿，治虚劳咳嗽，咳血，吐血，亦痢，白带，疔疮。
白豆蔻,http://p.ayxbk.com/images/thumb/5/5b/Bk142.jpg/220px-Bk142.jpg,（多骨、壳蔻、白蔻、圆豆蔻、扣米、豆蔻）,行气，暖胃，消食，宽中。治气滞，食滞，胸闷，腹胀，噫气，噎膈，吐逆，反胃，疟疾。
白粉蝶,http://p.ayxbk.com/images/e/e7/Bkjzo.jpg,（白蝴蝶、粉蝶、菜白蝶）,消肿止痛。主跌打损伤
白腹锦鸡,http://p.ayxbk.com/images/thumb/6/62/Bkc0e.jpg/220px-Bkc0e.jpg,（箐鸡肉）,止血；解毒。主血痔；疮疡肿毒
白鬼笔,http://p.ayxbk.com/images/0/06/Bkc0j.jpg,（鬼笔、鬼笔菌、竹下菌、竹菌、无裙荪）,祛风除湿；活血止痛。主风湿痛
白果,http://p.ayxbk.com/images/8/88/Bkg4a.jpg,（白果仁、灵眼、佛指甲、佛指柑、鸭脚子）,敛肺定喘，止带浊，缩小便。用于痰多喘咳，带下白浊，遗尿尿频。
白蒿,http://p.ayxbk.com/images/d/d8/Bk4uq.jpg,（蘩、皤蒿、由胡、蘩母、旁勃、白艾蒿、蓬蒿、莓母、大白蒿、大子蒿、臭蒿子、山艾、大头蒿、苦蒿）,治风寒湿痹，黄疸，热痢，疥癞恶疮。
白鹤灵芝,http://p.ayxbk.com/images/d/da/Bkc0l.jpg,（癣草）,清热润肺；杀虫止痒。主劳嗽；疥癣；湿疹
白花菜,http://p.ayxbk.com/images/8/80/Bkc0m.jpg,（羊角菜、屡析草、臭花菜、臭豆角、猪屎草、五梅草、白花仔草）,治风湿痹痛，跌打损伤，疟疾，痢疾，白带，痔疮。
白花菜子,http://p.ayxbk.com/images/thumb/8/8c/Bkc0n.jpg/220px-Bkc0n.jpg,（臭菜、臭花菜、羊角菜、臭花菜籽）,祛风散寒，活血止痛。用于风湿疼痛，腰痛，跌打损伤，痔疮。
白花丹,http://p.ayxbk.com/images/thumb/a/a3/Bk6ur.jpg/220px-Bk6ur.jpg,（白雪花、白皂药、山波苓、一见消、乌面马、火灵丹、假茉莉、猛老虎、白花岩陀、山坡芩、总管、千里及、野苜莉、隔布草、千槟梅、照药、天槟榔、白花皂药、山坡苓、干里及、鸟面马、千槟榔、白花九股牛、余笑花、白花铁罗汉）,祛风，散瘀，解毒，杀虫。治风湿关节疼痛，血瘀经闭，跌打损伤，肿毒恶疮，疥癣。
白花鬼针草,http://p.ayxbk.com/images/thumb/8/83/Bkc0o.jpg/220px-Bkc0o.jpg,（金杯银盏、金盏银盆、盲肠草）,清热解毒；利湿退黄。主感冒发热；风湿痹痛；湿热黄疸；痈肿疮疖。
白花蛇,http://p.ayxbk.com/images/thumb/0/0b/Bkamu.jpg/220px-Bkamu.jpg,,祛风湿，透筋骨，定惊搐。治风湿瘫痪，骨节疼痛，麻风，疥癞，小儿惊风搐搦，破伤风，杨梅疮，瘰疬恶疮。
白花蛇舌草,http://p.ayxbk.com/images/7/73/Bk07z.jpg,（蛇舌草、蛇舌癀、蛇针草、蛇总管、二叶葎、白花十字草、尖刀草、甲猛草、龙舌草、蛇脷草、鹤舌草、矮脚白花蛇利草、目目生珠草、节节结蕊草、鹩哥利、千打捶、羊须草、细叶柳子、珠仔草、定经草、小叶锅巴草、南地珠、散草、竹叶草、奶沙尔、铁沙尔）,清热解毒；利湿。主肺热喘咳；咽喉肿痛；肠痈；疖肿疮疡；毒蛇咬伤；热淋涩痛；水肿；痢疾；肠炎；湿热黄疸；癌肿
白花苋,http://p.ayxbk.com/images/thumb/a/a4/Gyl58u10.jpg/220px-Gyl58u10.jpg,（烂脚蒿、白牛膝、土牛膝、怀牛膝）,活血散瘀；清热除湿。主月经不调；血瘀崩漏；经闭；跌打损伤；风湿关节痛；湿热黄疸；痢疾；角膜云翳
白花油麻藤,http://p.ayxbk.com/images/3/32/Bk088.jpg,（鸡血藤[广西]、鲤鱼藤、大蓝布麻）,补血，通经络，强筋骨。用于贫血，白细胞减少症，月经不调，腰腿痛。
白活麻,http://p.ayxbk.com/images/thumb/f/fb/Gyl5942v.jpg/220px-Gyl5942v.jpg,（活麻草）,祛风除湿。用于风湿骨痛，小儿吐乳，皮肤湿疹。
白鸡屎藤,http://p.ayxbk.com/images/thumb/3/3a/Bkc0q.jpg/220px-Bkc0q.jpg,（臭皮藤、臭茎子、迎风子、飞龙接骨、青龙跌打）,治黄疸，痢疾，食积，痞块，经闭。
白及,http://p.ayxbk.com/images/thumb/2/2c/Bkmrm.jpg/220px-Bkmrm.jpg,（白根、地螺丝、白鸡儿、白鸡娃、连及草、羊角七、甘根、白给、白芨、冰球子、白乌儿头、千年棕、君球子、一兜棕、皲口药、利知子、臼根、白鸟儿头、君求子）,收敛止血，消肿生肌。用于咳血吐血，外伤出血，疮疡肿毒，皮肤皲裂；肺结核咳血，溃疡病出血。
白僵蚕,http://p.ayxbk.com/images/c/c6/Bkamv.jpg,（僵蚕、天虫、僵虫、白僵虫）,祛风解痉，化痰散结。治中风失音，惊痫，头风，喉风。喉痹，瘰疬结核。风疮瘾疹，丹毒，乳腺炎。
白接骨,http://p.ayxbk.com/images/d/de/Bkc0r.jpg,（接骨草、玉接骨、接骨丹、金不换、橡皮草、白龙骨、六厘草、猢狲节根、血见愁[浙江]、玉龙盘、无骨苎麻、玉梗半枝莲、玉按骨、血见愁、玉钱草、麒麟草、玉连环、华阿西达、小阿西达、蛀木虫）,止血，去瘀，清热解毒。治吐血，便血，外伤出血，扭伤，疖肿，咽喉肿痛。
白芥子,http://p.ayxbk.com/images/thumb/0/03/Bk08l.jpg/220px-Bk08l.jpg,（辣菜子）,化痰逐饮；散结消肿。主咳喘痰多；胸满胁痛；肢体麻木；关节肿痛；湿痰流注；阴疽肿毒
白蔻,http://p.ayxbk.com/images/thumb/c/c9/Bkbe2.jpg/220px-Bkbe2.jpg,,行气开胃。主胃脘疼痛；消化不良
白兰花,http://p.ayxbk.com/images/thumb/b/b9/Bkc0s.jpg/220px-Bkc0s.jpg,（白玉兰、白缅花、白兰、白木兰、黄桷兰、缅桂花）,止咳，化浊。治慢性支气管炎。前列腺炎，妇女白带。
白蔹,http://p.ayxbk.com/images/thumb/1/14/Bkmex.jpg/220px-Bkmex.jpg,（山地瓜、野红薯、山葡萄秧、白根、五爪藤、昆仑、猫儿卵、鹅抱蛋、见肿消、穿山老鼠、白水罐、铁老鼠、母鸡带仔、老鼠瓜薯、山栗子、八卦牛、白浆罐、狗天天、癞痢茶、兔核、人卦牛、地老鼠、野着薯、母鸡抱蛋）,清热解毒，消痈散结。用于痈疽发背，疔疮，瘰疠，水火烫伤。
白柳,http://p.ayxbk.com/images/thumb/9/95/Bkc13.jpg/220px-Bkc13.jpg,（苏盖提[维名]）,清热解毒；祛风除湿。主急性扁桃体炎；咽喉炎；腺腮炎；黄疸性肝炎；盆腔炎；肾炎；疮疖；风湿性关节炎；类风湿性关节炎
白马骨,http://p.ayxbk.com/images/thumb/6/6a/Bkamz.jpg/220px-Bkamz.jpg,（六月雪、路边金、满天星、路边鸡、六月冷、曲节草、路边荆、鱼骨刺、光骨刺、过路黄荆、硬骨柴、天星木、凉粉草、细牙家、白点秤、鸡骨头草、鸡脚骨、路边姜、鸡骨柴、千年勿大、白马里梢、野黄杨树、永勿大、米筛花、冻米柴、月月有、朱米雪、白金条、坐山虎、千年树、白花树、铁线树、黄羊脑、五经风、鸡骨头柴）,祛风，利湿，清热，解毒。治风湿腰腿痛，痢疾，水肿，目赤肿痛，喉痛，齿痛，妇女白带，痈疽，瘰疬。
白毛藤,http://p.ayxbk.com/images/thumb/2/24/Bkc15.jpg/220px-Bkc15.jpg,（苻、蜀羊泉、谷菜、鬼目草、白草、排风、白幕、鬼目菜、天灯笼、和尚头草、望冬红、酸尖菜、排风藤、土防风、耳坠菜、金线绿毛龟草、葫芦草、毛风藤、毛老人、红道士、毛和尚、野猫耳朵、胡毛藤、羊仔耳、生毛梢、龙毛龟、毛燕仔、红麦禾、彀菜、排风草、耳坠风、毛见藤、生毛稍、毛相公、望风藤、毛千里光、毛秀才、鹰咬豆子、毛道士、毛葫芦、葫芦藤）,请热，利湿，祛风，解毒。治疟疾，黄疸，水肿，淋病，风湿关节痛，丹毒，疔疮。
白茅根,http://p.ayxbk.com/images/thumb/e/e4/Bk08r.jpg/220px-Bk08r.jpg,（丝茅草、茅草、白茅草、茅草根、茅根、兰根、茹根、地菅、地筋、兼杜、白花茅根、地节根、坚草根、甜草根、丝毛草根、寒草根、白茅菅、丝茅、万根草）,凉血止血，清热利尿。用于血热吐血，衄血，尿血，热病烦渴，黄疸，水肿，热淋涩痛；急性肾炎水肿。
白茅花,http://p.ayxbk.com/images/d/da/Bkan0.jpg,（营花、茅盔花、茅针花、菅花、茅花）,止血；定痛。主吐血；衄血；刀伤
白梅,http://p.ayxbk.com/images/thumb/3/33/Bkc16.jpg/220px-Bkc16.jpg,（盐梅、霜梅、白霜梅）,治喉痹，泻痢烦渴，梅核膈气，痈疽肿毒，外伤出血。
白梅花,http://p.ayxbk.com/images/thumb/7/79/Bkc17.jpg/220px-Bkc17.jpg,（绿萼梅、绿梅花）,舒肝，和胃，化痰。治梅核气，肝胃气痛，食欲不振，头晕，瘰疬。
白牛胆,http://p.ayxbk.com/images/3/3a/Bkc1b.jpg,（毛老虎、猪耳风、大力黄、白叶菊、大麻香、毛柴胡、白面风、土蒙花、大刀药、白背风、白羊耳、华耳木、金边草、上大黄、过山香、羊耳茶、毛茶、山白芷、大力王、白羊风、白头翁、飞扬药、观音茶、羊仔耳、白面猫子骨、壮牛浪、八面风、蜡毛香、羊耳风）,祛风散寒；行气利湿；解毒消肿。主风寒感冒；咳嗽；风湿痹痛；泄痢；肝炎；乳腺炎；痔疮；湿疹；疥癣
白前,http://p.ayxbk.com/images/b/b7/Bk090.jpg,（鹅管白前、竹叶白前、石蓝、嗽药、柳叶白前、水杨柳、大鹤瓢、水柳、芫花叶白前、溪瓢羹、消结草、乌梗仔、蜜白前、炒白前）,降气，消痰，止咳。用于肺气壅实，咳嗽痰多，胸满喘急。
白屈菜,http://p.ayxbk.com/images/6/6e/Bk6ws.jpg,（山黄连、土黄连、牛金花、八步紧、断肠草[北京]、地黄连、断肠草、山西瓜、雄黄草、假黄连、小野人血草、黄汤子、胡黄连、小黄连）,镇痛，止咳，利尿解毒。治胃肠疼痛，黄疸，水肿，疥癣疮肿，蛇虫咬伤。
白乳菇,http://p.ayxbk.com/images/thumb/9/90/Bkc1c.jpg/220px-Bkc1c.jpg,（辣味乳菇、蘑菇、羊脂菌、白奶浆菌、板栗菌、白蘑菇、石灰菌）,祛风散寒；舒筋活络。主腰腿疼痛；手足麻木；筋骨不舒；四肢抽搐
白沙蒿,http://p.ayxbk.com/images/thumb/2/22/Bkc1d.jpg/220px-Bkc1d.jpg,（籽蒿、扑勒蒙、白砂蒿、油砂蒿）,理气；通便；解毒。主大便不通；腥胀腹痛；肋腺炎；扁桃体炎；痈肿疮疖
白沙糖,http://p.ayxbk.com/images/thumb/5/5c/Bkc1e.jpg/220px-Bkc1e.jpg,（石蜜、白糖、糖霜、白霜糖）,润肺，生津。治肺燥咳嗽，口干燥渴，中虚脘痛。
白石英,http://p.ayxbk.com/images/thumb/2/21/Bkan2.jpg/220px-Bkan2.jpg,,镇静安神，止咳，降逆。用于惊悸不安，咳嗽气逆。
白首乌,http://p.ayxbk.com/images/thumb/1/16/Bk6yd.jpg/220px-Bk6yd.jpg,（山东何首乌、泰山何首乌、泰山白首乌、和尚乌、隔山消、白何乌、白何首乌、隔山撬、白木香、野蕃薯、一肿三消、和平参、山花旗、张果老）,安神、补血。用于体虚失眠，健忘多梦，皮肤搔痒。
白薯莨,http://p.ayxbk.com/images/thumb/2/20/Bkc1h.jpg/220px-Bkc1h.jpg,（山仆薯、板薯、那亚、榜花薯、叶板茨、榜薯、野葛薯、山薯、白米茹粮、地遍、山朴薯、大力王）,清热解毒消肿。主痈疽肿毒；梅毒；下疳；跌打肿痛
白术,http://p.ayxbk.com/images/thumb/4/46/Bk09e.jpg/220px-Bk09e.jpg,（于术、冬术、浙术、种术、山蓟、杨抱蓟、术）、山芥、天蓟、山姜、乞力伽、山精、山连、冬白术、杨枹蓟、术）,补脾，益胃，燥湿，和中，安胎。治脾胃气弱，不思饮食，倦怠少气，虚胀，泄泻，痰饮，水肿，黄疸，湿痹，小便不利，头晕，自汗，胎气不安。
白苏,http://p.ayxbk.com/images/thumb/5/5c/Bkbe5.jpg/220px-Bkbe5.jpg,（野苏麻、白苏子、玉苏子、苏梗）,散寒解表，理气宽中。用于风寒感冒，头痛，咳嗽，胸腹胀满。
白苏子,http://p.ayxbk.com/images/thumb/b/bf/Bk6un.jpg/220px-Bk6un.jpg,（荏子、玉苏子、玉竹子）,下气；消痰；润肺；宽肠。主咳逆；痰喘；气滞便秘
白檀,http://p.ayxbk.com/images/thumb/4/45/Bkc1i.jpg/220px-Bkc1i.jpg,（野荞面根、大撵药、地胡椒、乌子树、砒霜子、蛤蟆涎、白花茶、牛筋叶、檀花青）,消炎软坚，调气。主治乳腺炎，淋巴腺炎，疝气，肠痈，胃癌，疮疖。
白藤,http://p.ayxbk.com/images/thumb/3/3a/Bkc1k.jpg/220px-Bkc1k.jpg,（大发汗、白花藤、大毛豆、断肠叶）,发汗，祛风，活血，止血。治风寒感冒，类风湿关节炎，跌打损伤，闭经，外伤出血。
白头翁,http://p.ayxbk.com/images/thumb/5/58/Bk09f.jpg/220px-Bk09f.jpg,（毛姑朵花、老婆子花、老公花、野丈人、胡王使者、白头公）,清热凉血，解毒。治热毒血痢，温疟寒热，鼻衄，血痔。
白头翁花,http://p.ayxbk.com/images/thumb/7/7a/Bkc1l.jpg/220px-Bkc1l.jpg,,清热解毒；杀虫。主主治疟疾；头疮；白秃疮
白透骨消,http://p.ayxbk.com/images/d/d7/Bkc1m.jpg,（透骨消、连钱草、活血丹、见肿消）,祛风活血；利湿解毒。主风湿痹痛；跌打损伤；肺痈；黄疸；急性肾炎；尿道结石；痄腮
白薇,http://p.ayxbk.com/images/thumb/6/60/Bk09i.jpg/220px-Bk09i.jpg,（白马尾、葞、春草、芒草、白微、白幕、薇草、骨美、龙胆白薇、白龙须、山烟根子、拉瓜瓢、白马薇、巴子根、金金甲根、老君须、老虎瓢根、婆婆针线包、东白微）,清热，凉血。治阴虚内热，风温灼热多眠，肺热咳血，温疟，瘅疟，产后虚烦血厥，热淋，血淋，风湿痛，瘰疬。
白鲜皮,http://p.ayxbk.com/images/8/8c/Bkmsm.jpg,（白藓皮、八股牛、山牡丹、羊鲜草、北鲜皮、藓皮、野花椒根皮、臭根皮）,祛风，燥湿，清热，解毒。治风热疮毒，疥癣，皮肤痒疹，风湿痹痛，黄疸。
白鹇,http://p.ayxbk.com/images/thumb/d/d4/Bkc1n.jpg/220px-Bkc1n.jpg,（鹎雉、白鹎、白雉、越禽、银鸡、银雉、白鵫、白翰、鵫雉、雗雉、白雗、文雗）,补气；健脾；益肺。主脾胃虚弱；食欲不振；食后饱胀；大便溏泄；虚劳发热；咳嗽
白苋,http://p.ayxbk.com/images/d/dd/Bkc1u.jpg,（糠苋、细苋、野苋、猪苋、假苋菜、绿苋）,清热，解毒。治疮肿，牙疳，虫咬。
白杨树皮,http://p.ayxbk.com/images/thumb/c/cb/Bkc1v.jpg/220px-Bkc1v.jpg,（白杨皮、山杨皮）,祛风，行瘀，消痰。治风痹，脚气，扑损瘀血，妊娠下痢，牙痛，口疮。
白药,http://p.ayxbk.com/images/thumb/c/c6/Bk5b4.jpg/220px-Bk5b4.jpg,（白药草乌）,祛风湿；止痛。主风湿痹痛；跌打伤痛
白药子,http://p.ayxbk.com/images/5/57/Bk703.jpg,（白药脂、盘花地不容、山乌龟、金线吊乌龟[广东、湖南]、金线吊葫芦[江西]、金丝吊鳖、白药、白药根）,散瘀消肿，止痛。用于痈疽肿毒，腮腺炎，毒蛇咬伤，跌打肿痛。
白叶藤,http://p.ayxbk.com/images/thumb/7/74/Bkc1w.jpg/220px-Bkc1w.jpg,（红藤仔、飞扬藤、胱皮藤、红丝线、扛棺回[海南]、铁边、蜈蚣草、篱尾蛇、藤羊角扭、母乳藤、对面笑、鸟仔藤、淋汁藤、飞杨藤、牛蹄藤、脱皮藤、扛棺回）,清热解毒；止血；散瘀止痛。主肺热咳血；肺痨咯血；胃出血；痈肿；疮毒；跌打刀伤；蛇虫咬伤
白英,http://p.ayxbk.com/images/thumb/f/f7/Bkms7.jpg/220px-Bkms7.jpg,（白毛藤、白草、毛千里光、毛风藤、排风藤、毛秀才、葫芦草、金线绿毛龟）,清热解毒，利湿消肿，抗癌。全草：用于感冒发热，乳痈、恶疮，湿热黄疸、腹水，白带，肾炎水肿；外用治痈疖肿毒。根：风湿痹痛。
白鱼,http://p.ayxbk.com/images/thumb/b/be/Bkc1x.jpg/220px-Bkc1x.jpg,（鲌鱼、鱎鱼、白扁鱼）,开胃消食；健脾行水。主食积不化；水肿
白芷,http://p.ayxbk.com/images/thumb/1/1e/Bk09p.jpg/220px-Bk09p.jpg,（薛、芷、芳香、苻蓠、泽芬、白茝、香白芷、虈、晼、白茞）,散风除湿，通窍止痛，消肿排脓。用于感冒头痛，眉棱骨痛，鼻塞，鼻渊，牙痛，白带，疮疡肿痛。
白猪母菜,http://p.ayxbk.com/images/0/01/Bkc20.jpg,（对主从神仙、六月雪、白胶墙、母草）,清热解毒；凉血止血。主湿热泻痢；目赤肿痛；尿血；痔疮肿痛
百部,http://p.ayxbk.com/images/thumb/4/46/Bkmf5.jpg/220px-Bkmf5.jpg,（百条根、百部草、闹虱药、药虱药、嗽药、野天门冬、百奶、九丛根、九虫根、一窝虎、九十九条根、山百根、牛虱鬼、百部根、白并、玉箫、箭杆）,润肺止咳；杀虫灭虱。主新久咳嗽；肺痨；百日咳；蛲虫病；体虱；癣疥
百合,http://p.ayxbk.com/images/thumb/1/1b/Bk0ac.jpg/220px-Bk0ac.jpg,（野百合、喇叭筒、山百合、药百合、家百合、白百合、蒜脑薯、重迈、中庭、重箱、摩罗、强瞿、百合蒜）,养阴润肺，清心安神。用于阴虚久咳，痰中带血，虚烦惊悸，失眠多梦，精神恍惚。
百合花,http://p.ayxbk.com/images/thumb/a/ac/Bkc21.jpg/220px-Bkc21.jpg,,润肺，清火，安神。治咳嗽，眩晕，夜寐不安，天疱湿疮。
百合子,http://p.ayxbk.com/images/thumb/3/34/Bkc2c.jpg/220px-Bkc2c.jpg,,清热凉血。主肠风下血
百花锦蛇,http://p.ayxbk.com/images/thumb/0/04/Bkc2e.jpg/220px-Bkc2e.jpg,（金钱白花蛇[广西]、白花蛇、花蛇、菊花蛇）,搜风胜湿，定搐搦，强腰膝。用于半身不遂，口眼歪斜，筋脉拘急，湿痹不仁、骨节疼痛，麻风疥癣。
百两金,http://p.ayxbk.com/images/thumb/9/96/Bkc00.jpg/220px-Bkc00.jpg,（八爪龙、八爪金龙、开喉剑、叶下藏珠、状元红、山豆根、铁雨伞、真珠凉伞、野猴枣、珍珠伞、地杨梅、开喉箭、竹叶胎、蛇连天、白八爪、高脚凉伞）,清热，祛痰，利湿。治咽喉肿痛，肺病咳嗽，咯痰不畅，湿热黄疸，肾炎水肿，痢疾，白浊，风湿骨痛，牙痛，睾丸肿痛。
百脉根,http://p.ayxbk.com/images/thumb/2/2a/Bkc2h.jpg/220px-Bkc2h.jpg,（黄花草、牛角花、黄瓜草、小花生藤、地羊鹊、斑鸠窝、柏脉根、都草、黄金花、五叶草、鸟距草）,补虚；清热；止渴。主虚劳；阴虚发热；口渴
百日草,http://p.ayxbk.com/images/6/68/Bkc2i.jpg,（十姊妹、火毡花、对叶菊、步步登高、节节高）,清热利尿。主治痢疾，淋症，乳头痈。
柏子仁,http://p.ayxbk.com/images/thumb/7/77/Bk0ao.jpg/220px-Bk0ao.jpg,（柏实、柏子、柏仁、侧柏子）,养心安神，润肠通便。治惊悸，失眠，遗精，盗汗，便秘。
败酱,http://p.ayxbk.com/images/thumb/d/df/Bk5b8.jpg/220px-Bk5b8.jpg,（鹿肠、鹿首、马草、泽败、鹿酱、酸益、苦菜、苦蘵、野苦菜、苦猪菜、苦斋公、豆豉草、豆渣草、白苦爹、苦苴、败酱草、野苦菜；苦斋公；豆豇草；豆渣草；观音菜；白苦爹、苦叶菜、萌菜、女郎花）,清热解毒；活血排脓。主肠痈；肺痈；痈肿；痢疾；产后瘀滞腹痛
败酱草,http://p.ayxbk.com/images/4/43/Bk0b5.jpg,（黄花败酱、龙芽败酱、黄花龙牙）,清热解毒，消痈排脓，活血行瘀。用于肠痈、肺痈及疮痈肿毒，实热瘀滞所致的胸腹疼痛，产后瘀滞腹痛等症。
